id;security_classification_type_code;security_classification_type;security_classification_details
1;firewall SAS;models Hat;../fake-data/blob/hipster.txt
2;invoice Hat;Mexico;../fake-data/blob/hipster.txt
3;Shilling Shirt;Computer Mountains;../fake-data/blob/hipster.txt
4;Shilling Michigan;set parsing;../fake-data/blob/hipster.txt
5;Kids partnerships Table;coherent cross-platform;../fake-data/blob/hipster.txt
6;Toys Card;IB Personal Functionality;../fake-data/blob/hipster.txt
7;Executive Automotive;backing;../fake-data/blob/hipster.txt
8;parse Books Assistant;Soft Books;../fake-data/blob/hipster.txt
9;El Product Borders;convergence Account;../fake-data/blob/hipster.txt
10;Metal Tanzania Global;Berkshire Health;../fake-data/blob/hipster.txt
