id;transaction_number;transaction_date;transaction_currency;transaction_amount;dealer_name;file_upload_token;compilation_token
1;JBOD quantifying;2021-09-20;INR;44833;Reactive testing;invoice;pink bypass feed
2;withdrawal District;2021-09-20;JPY;86562;Unbranded system Fords;expedite methodical;virtual Sleek
3;Bedfordshire Electronics Rest;2021-09-20;EUR;44309;Branding;bypass capability Gloves;harness Soap Interactions
4;invoice Dynamic GB;2021-09-19;ZAR;66575;Dollar;Supervisor;Fantastic Koruna invoice
5;Metal Games Regional;2021-09-20;TZS;72737;red;bleeding-edge Shoes wireless;Curve transmitter
6;communities engineer;2021-09-20;CAD;56484;support Buckinghamshire;payment;white
7;dedicated Zambian Regional;2021-09-19;AED;86067;Franc application interfaces;Account;Quality
8;Investor Hat;2021-09-20;UGX;9652;Licensed world-class Turkey;Administrator sky;open-source Clothing Euro
9;Louisiana Awesome Unbranded;2021-09-20;ZAR;72832;SMS;Operative Designer Tonga;Product
10;Factors;2021-09-20;CAD;56442;Phased software systematic;Cambridgeshire;Sports Intranet silver
