id;county_code;county_name;sub_county_code;sub_county_name
1;York;Loan collaboration;Rubber Montana;Product
2;synthesize redefine;auxiliary indexing;turn-key markets;clicks-and-mortar
3;Cambridgeshire Principal;Account;input AGP;payment Chief
4;Mobility;primary generating Cheese;feed Decentralized;UIC-Franc Granite
5;deposit systems Handcrafted;transmit Mountain;Books;Practical revolutionary tangible
6;Devolved primary synergize;generating niches;EXE users;deposit
7;overriding;Metrics;Synergized digital SMS;robust
8;Forest Gorgeous Infrastructure;Locks;Games;New approach synthesize
9;auxiliary Fish;Holy deposit;transmit;Director
10;Wall Generic Tajikistan;benchmark;Designer;Philippines Licensed Bedfordshire
