id;name;identifier;lease_contract_id;debit_id;credit_id
1;Pound;115750e2-2f4d-433a-87ef-e40f9c2ffa6b;1;1;1
2;Pre-emptive Games Vision-oriented;a8d2b1fc-fb46-43e9-abb3-1d4c4fc6138a;2;2;2
3;Horizontal;26262415-5f1e-4a5e-a812-b17d7edbd72a;3;3;3
4;Mountains;9ca1249a-e5f7-492b-be92-aadfe1324ccc;4;4;4
5;Lithuania back-end heuristic;7ba29286-d8e4-40bb-b165-502f45b2980b;5;5;5
6;Illinois whiteboard optical;02f5e55b-8696-43cc-bbcc-e74a5f1d3ada;6;6;6
7;Omani extend;04db00f2-3492-43b0-965d-c10ca36b7f7e;7;7;7
8;Product;d78557df-4929-4adc-b166-2a7656a37b0e;8;8;8
9;Executive drive Polarised;f66cc22d-dba3-4b9f-88ac-4a6783583ab4;9;9;9
10;Baby CSS Accounts;713539ad-62c0-485c-84a7-8f70b385741a;10;10;10
