id;name;identifier;lease_contract_id;debit_id;credit_id
1;zero quantifying wireless;0dcacb7e-0876-4471-9f36-50871190e2ee;1;1;1
2;Account even-keeled Knolls;b05f3208-fdbe-48ea-929f-fcb7ce1e8444;2;2;2
3;Concrete Rustic Strategist;b894a0f0-5ebd-45da-8ef2-7b117b5b5721;3;3;3
4;empowering Product Cross-group;0332f085-620e-4611-8775-c73137b38b45;4;4;4
5;Tanzania;9087ce8c-11a8-48ce-a8d8-61e46f06d07a;5;5;5
6;Handmade;dc7874ac-5cf9-4357-8b58-4ba857a2d6e0;6;6;6
7;Bedfordshire;371713f8-4a4a-48b1-9d7c-ad1862940308;7;7;7
8;People's recontextualize;4bf87be1-b60e-4b48-8671-199c7fa0e233;8;8;8
9;access Officer Way;8971e7ef-fa07-454e-b336-4ec3695cab93;9;9;9
10;Principal;fe922727-617e-4a8a-bbbb-27e7ebce7bb1;10;10;10
