id;name;identifier;lease_contract_id;debit_id;credit_id
1;clicks-and-mortar;c56d9327-0755-4c39-8bdb-062726f42da9;1;1;1
2;Rubber;9da15985-ac3c-43d3-828d-99c7c9336cb2;2;2;2
3;programming Rubber;6b558227-ec69-486e-83ca-4517d6a00b01;3;3;3
4;Dynamic Kentucky;ceb3a1c7-112c-4386-ae48-51e411274f64;4;4;4
5;Kwacha bandwidth;50a84ef0-7d1a-400b-b183-73398bff581a;5;5;5
6;synthesizing sensor;a7e4629f-27fd-4340-9059-21ee61c6bee9;6;6;6
7;optical Bacon bandwidth;f46c91b2-ae20-412f-b901-f1b02bdd25e1;7;7;7
8;Jewelery system;01b61fad-550d-470b-bb41-b2749e4ac73c;8;8;8
9;Escudo;a7dbc9e6-bd11-42f5-b281-4ff71ab97816;9;9;9
10;Timor-Leste Macao;bd6e2f90-edbc-4b80-a6ba-4cc65ddc62f7;10;10;10
