id;txn_terminal_type_code;txn_channel_type;txn_channel_type_details
1;engineer;Maldives enhance;../fake-data/blob/hipster.txt
2;Minor Account;infrastructures;../fake-data/blob/hipster.txt
3;User-centric Sleek rich;Investment CSS indigo;../fake-data/blob/hipster.txt
4;virtual salmon;rich mesh;../fake-data/blob/hipster.txt
5;Forward asynchronous;Alabama;../fake-data/blob/hipster.txt
6;Eritrea;Loan Bike;../fake-data/blob/hipster.txt
7;Electronics IB Shoes;Savings Fundamental Cayman;../fake-data/blob/hipster.txt
8;next-generation Chief;input Berkshire;../fake-data/blob/hipster.txt
9;matrix Mobility Dynamic;HDD Sudanese;../fake-data/blob/hipster.txt
10;world-class Health dot-com;feed;../fake-data/blob/hipster.txt
