id;name;identifier;debit_account_type_id;credit_account_type_id
1;auxiliary Lanka;c7384432-532b-4fbe-9686-a29f231ab790;1;1
2;Ball sky;c4146854-46ba-4897-b0ce-dcb8c607bf39;2;2
3;best-of-breed;984a0458-72e5-4a09-8760-189bc5fb6a72;3;3
4;IB;31228425-53a8-44f1-83ab-afa2f78cfe46;4;4
5;Chief Buckinghamshire;66eba203-5c91-4cbf-909a-35b8f839c8d5;5;5
6;needs-based Island Savings;53ddc86a-e82b-43f8-99ae-f6dc81fd8afe;6;6
7;Soft Shoes;726e2d7a-4b65-4cb9-b927-bf43b7c1467d;7;7
8;Lead;28874533-3c0c-4575-a926-a5a604b9bbe1;8;8
9;dot-com;5421ae5e-0c0b-430d-90a4-b0d1aa117a03;9;9
10;Internal monitor;5fd8f572-0f78-468e-be28-81073890688c;10;10
