id;reporting_date;date_confiscated;serial_number;depositors_names;tellers_names;date_submitted_to_cbk;remarks
1;2023-10-03;2023-10-04;Netherlands District Handmade;solid Director;Metal solid;2023-10-03;../fake-data/blob/hipster.txt
2;2023-10-03;2023-10-03;JBOD bandwidth-monitored;circuit Mauritius strategic;enable Maryland Kuwait;2023-10-03;../fake-data/blob/hipster.txt
3;2023-10-03;2023-10-03;azure Down-sized Namibia;magenta flexibility eco-centric;B2C;2023-10-03;../fake-data/blob/hipster.txt
4;2023-10-04;2023-10-03;Directives Rustic Dakota;optimal;Tactics Rubber;2023-10-03;../fake-data/blob/hipster.txt
5;2023-10-03;2023-10-03;navigate holistic;Implementation transmitting;Product;2023-10-03;../fake-data/blob/hipster.txt
6;2023-10-04;2023-10-03;Intelligent withdrawal;Pants payment;Refined;2023-10-03;../fake-data/blob/hipster.txt
7;2023-10-03;2023-10-03;Games content innovate;Program web-readiness;Alaska Rubber;2023-10-03;../fake-data/blob/hipster.txt
8;2023-10-03;2023-10-04;Berkshire groupware Small;Books back payment;Cotton Vermont;2023-10-03;../fake-data/blob/hipster.txt
9;2023-10-03;2023-10-03;Account;PNG ROI;cross-platform Communications;2023-10-04;../fake-data/blob/hipster.txt
10;2023-10-03;2023-10-03;contingency Developer SQL;interface Tuna;Illinois EXE hack;2023-10-03;../fake-data/blob/hipster.txt
