id;sequence_number;particulars;instalment_date;instalment_amount;comments;comments_content_type;level_of_completion;completed
1;reboot;24/365 bluetooth;2022-04-13;18801;../fake-data/blob/hipster.png;image/png;3690;true
2;Awesome Agent moderator;teal;2022-04-12;13317;../fake-data/blob/hipster.png;image/png;20710;false
3;Quality;deposit;2022-04-13;75049;../fake-data/blob/hipster.png;image/png;7006;false
4;Account Program compressing;Usability Automated;2022-04-13;4353;../fake-data/blob/hipster.png;image/png;65014;true
5;PCI vertical portals;Walk program system-worthy;2022-04-13;45337;../fake-data/blob/hipster.png;image/png;71657;false
6;Money;standardization Steel initiatives;2022-04-13;60633;../fake-data/blob/hipster.png;image/png;36225;false
7;calculating port;Movies magenta;2022-04-13;24597;../fake-data/blob/hipster.png;image/png;40826;false
8;Decentralized;olive synthesizing;2022-04-13;85621;../fake-data/blob/hipster.png;image/png;91838;false
9;Practical Incredible;Grass-roots AI;2022-04-13;52359;../fake-data/blob/hipster.png;image/png;30986;true
10;Small;Account;2022-04-13;84456;../fake-data/blob/hipster.png;image/png;91484;true
